d	./.appworld
d	./.appworld/tests
d	./.cache
d	./.cache/appworld
d	./.cache/huggingface
d	./.cache/ms-playwright
d	./.cache/pip
d	./.cache/uv
d	./.config
d	./.config/fish
d	./.config/uv
d	./.config/workarena
d	./.ipython
d	./.ipython/profile_default
d	./.local
d	./.local/bin
d	./.pki
d	./.pki/nssdb
d	./.ssh
d	./.tmp
d	./benchmarks
d	./benchmarks/agentdojo
d	./benchmarks/appworld
d	./benchmarks/appworld-official-a072b7a
d	./benchmarks/tau2-bench
d	./benchmarks/webarena-verified
d	./benchmarks/workarena
d	./data
d	./data/api_docs
d	./data/base_dbs
d	./data/datasets
d	./data/tasks
d	./revised_agent_benchmark_paper_package
d	./revised_agent_benchmark_paper_package/.tmp
d	./revised_agent_benchmark_paper_package/configs
d	./revised_agent_benchmark_paper_package/data
d	./revised_agent_benchmark_paper_package/experiments
d	./revised_agent_benchmark_paper_package/figures
d	./revised_agent_benchmark_paper_package/outputs
d	./revised_agent_benchmark_paper_package/results
d	./revised_agent_benchmark_paper_package/scripts
d	./revised_agent_benchmark_paper_package/src
d	./revised_agent_benchmark_paper_package/tmp
f	./.bashrc
f	./.cache/motd.legal-displayed
f	./.cloud-locale-test.skip
f	./.gitconfig
f	./.profile
f	./.ssh/authorized_keys
f	./.wget-hsts
f	./.zshrc
f	./data/LICENSE
f	./data/README_BEFORE_SHARING.md
f	./data/version.txt
f	./revised_agent_benchmark_paper_package/.DS_Store
f	./revised_agent_benchmark_paper_package/.env
f	./revised_agent_benchmark_paper_package/.workarena_instances_pool_v2_no16.json
f	./revised_agent_benchmark_paper_package/README_PACKAGE.md
f	./revised_agent_benchmark_paper_package/checklist.tex
f	./revised_agent_benchmark_paper_package/neurips_2026.sty
f	./revised_agent_benchmark_paper_package/ref.bib
f	./revised_agent_benchmark_paper_package/revised_agent_benchmark_paper.bbl
f	./revised_agent_benchmark_paper_package/revised_agent_benchmark_paper.pdf
f	./revised_agent_benchmark_paper_package/revised_agent_benchmark_paper.tex
f	./revised_agent_benchmark_paper_package/实验说明.md
f	./revised_agent_benchmark_paper_package/计划.md
